day_of_year,hour_of_day,time_in_secs
02-22-18,21,2573
02-22-18,22,2199
02-22-18,23,2659
02-23-18,0,2433
02-23-18,1,2126
02-23-18,2,2418
02-23-18,3,2380
02-23-18,4,2698
02-23-18,5,2769
02-23-18,6,2152
02-23-18,7,3689
02-23-18,8,3159
02-23-18,9,2361
02-23-18,10,2707
02-23-18,11,2806
02-23-18,12,2080
02-23-18,13,2545
02-23-18,14,2010
02-23-18,15,2689
02-23-18,16,2547
02-23-18,17,3214
02-23-18,18,2187
02-23-18,19,2349
02-23-18,20,2288
02-23-18,21,1998
02-23-18,22,2250
02-23-18,23,2277
02-24-18,0,2931
02-24-18,1,2135
02-24-18,2,1867
02-24-18,3,2550
02-24-18,4,2411
02-24-18,5,2455
02-24-18,6,3056
02-24-18,7,3150
02-24-18,8,2608
02-24-18,9,2243
02-24-18,10,2203
02-24-18,11,2151
02-24-18,12,2705
02-24-18,13,1936
02-24-18,14,2778
02-24-18,15,2519
02-24-18,16,2821
02-24-18,17,2529
02-24-18,18,2815
02-24-18,19,2893
02-24-18,20,2113
02-24-18,21,2754
02-24-18,22,2668
02-24-18,23,2074
02-25-18,0,2520
02-25-18,1,1962
02-25-18,2,2669
02-25-18,3,2112
02-25-18,4,2877
02-25-18,5,2339
02-25-18,6,2120
02-25-18,7,3315
02-25-18,8,3599
02-25-18,9,2721
02-25-18,10,2395
02-25-18,11,2299
02-25-18,12,2482
02-25-18,13,2411
02-25-18,14,2415
02-25-18,15,2725
02-25-18,16,2864
02-25-18,17,2998
02-25-18,18,2832
02-25-18,19,2206
02-25-18,20,2098
02-25-18,21,2093
02-25-18,22,2024
02-25-18,23,2847
02-26-18,0,2628
02-26-18,1,2156
02-26-18,2,2246
02-26-18,3,2743
02-26-18,4,2086
02-26-18,5,2513
02-26-18,6,2427
02-26-18,7,2952
02-26-18,8,3288
02-26-18,9,2931
02-26-18,10,2901
02-26-18,11,2061
02-26-18,12,2589
02-26-18,13,2309
02-26-18,14,2704
02-26-18,15,2648
02-26-18,16,2835
02-26-18,17,3147
02-26-18,18,2677
02-26-18,19,2843
02-26-18,20,2622
02-26-18,21,2360
02-26-18,22,2216
02-26-18,23,2950
02-27-18,0,2600
02-27-18,1,2852
02-27-18,2,2185
02-27-18,3,2007
02-27-18,4,2128
02-27-18,5,2394
02-27-18,6,3118
02-27-18,7,2925
02-27-18,8,2610
02-27-18,9,2391
02-27-18,10,2640
02-27-18,11,1987
02-27-18,12,2833
02-27-18,13,2775
02-27-18,14,2502
02-27-18,15,2334
02-27-18,16,2979
02-27-18,17,2430
02-27-18,18,2411
02-27-18,19,2687
02-27-18,20,2805
02-27-18,21,2517
02-27-18,22,2485
02-27-18,23,2348
02-28-18,0,2540
02-28-18,1,2692
02-28-18,2,2494
02-28-18,3,2156
02-28-18,4,2143
02-28-18,5,2846
02-28-18,6,2466
02-28-18,7,3143
02-28-18,8,2787
02-28-18,9,2875
02-28-18,10,2088
02-28-18,11,2583
02-28-18,12,2381
02-28-18,13,2764
02-28-18,14,2814
02-28-18,15,2972
02-28-18,16,2104
02-28-18,17,2821
02-28-18,18,2227
02-28-18,19,2298
02-28-18,20,2551
02-28-18,21,2009
02-28-18,22,2340
02-28-18,23,2475
03-01-18,0,2870
03-01-18,1,2576
03-01-18,2,1867
03-01-18,3,2240
03-01-18,4,2272
03-01-18,5,2390
03-01-18,6,2295
03-01-18,7,2647
03-01-18,8,3614
03-01-18,9,2268
03-01-18,10,2541
03-01-18,11,2697
03-01-18,12,2223
03-01-18,13,2780
03-01-18,14,2391
03-01-18,15,2653
03-01-18,16,2504
03-01-18,17,2884
03-01-18,18,2006
03-01-18,19,1998
03-01-18,20,1976
03-01-18,21,2061
03-01-18,22,1937
03-01-18,23,2316
03-02-18,0,2140
03-02-18,1,1950
03-02-18,2,1855
03-02-18,3,2390
03-02-18,4,2800
03-02-18,5,2891
03-02-18,6,2445
03-02-18,7,3264
03-02-18,8,2823
03-02-18,9,2741
03-02-18,10,2508
03-02-18,11,2018
03-02-18,12,2514
03-02-18,13,1914
03-02-18,14,2353
03-02-18,15,2889
03-02-18,16,2894
03-02-18,17,2480
03-02-18,18,2632
03-02-18,19,2424
03-02-18,20,2326
03-02-18,21,2150
03-02-18,22,2440
03-02-18,23,2008
03-03-18,0,2516
03-03-18,1,2542
03-03-18,2,2467
03-03-18,3,2263
03-03-18,4,2483
03-03-18,5,2501
03-03-18,6,2556
03-03-18,7,2896
03-03-18,8,2730
03-03-18,9,3085
03-03-18,10,2146
03-03-18,11,2822
03-03-18,12,2857
03-03-18,13,2697
03-03-18,14,2067
03-03-18,15,2694
03-03-18,16,2073
03-03-18,17,2333
03-03-18,18,2803
03-03-18,19,2070
03-03-18,20,2042
03-03-18,21,1957
03-03-18,22,1881
03-03-18,23,2603
03-04-18,0,2236
03-04-18,1,2832
03-04-18,2,2482
03-04-18,3,2344
03-04-18,4,2693
03-04-18,5,2280
03-04-18,6,2693
03-04-18,7,2902
03-04-18,8,3501
03-04-18,9,2720
03-04-18,10,2184
03-04-18,11,1919
03-04-18,12,2245
03-04-18,13,2157
03-04-18,14,2399
03-04-18,15,2353
03-04-18,16,2624
03-04-18,17,2825
03-04-18,18,2445
03-04-18,19,2872
03-04-18,20,2302
03-04-18,21,2754
03-04-18,22,2638
03-04-18,23,2928
03-05-18,0,2135
03-05-18,1,1966
03-05-18,2,2347
03-05-18,3,2579
03-05-18,4,2518
03-05-18,5,2335
03-05-18,6,2931
03-05-18,7,3429
03-05-18,8,3212
03-05-18,9,2800
03-05-18,10,2610
03-05-18,11,2753
03-05-18,12,2127
03-05-18,13,2062
03-05-18,14,2840
03-05-18,15,2884
03-05-18,16,2617
03-05-18,17,3192
03-05-18,18,2334
03-05-18,19,2928
03-05-18,20,2400
03-05-18,21,2676
03-05-18,22,1923
03-05-18,23,2877
03-06-18,0,2716
03-06-18,1,2037
03-06-18,2,2492
03-06-18,3,2735
03-06-18,4,2846
03-06-18,5,2508
03-06-18,6,3085
03-06-18,7,3578
03-06-18,8,3233
03-06-18,9,3092
03-06-18,10,2397
03-06-18,11,2310
03-06-18,12,2451
03-06-18,13,2177
03-06-18,14,2265
03-06-18,15,2664
03-06-18,16,2903
03-06-18,17,3219
03-06-18,18,2414
03-06-18,19,2319
03-06-18,20,2909
03-06-18,21,1939
03-06-18,22,2321
03-06-18,23,2428
03-07-18,0,2907
03-07-18,1,2461
03-07-18,2,2486
03-07-18,3,2569
03-07-18,4,2646
03-07-18,5,2696
03-07-18,6,2619
03-07-18,7,2612
03-07-18,8,3662
03-07-18,9,2367
03-07-18,10,2892
03-07-18,11,2200
03-07-18,12,2197
03-07-18,13,2141
03-07-18,14,2035
03-07-18,15,2038
03-07-18,16,2775
03-07-18,17,2848
03-07-18,18,2820
03-07-18,19,2315
03-07-18,20,2070
03-07-18,21,2043
03-07-18,22,2567
03-07-18,23,2133
03-08-18,0,2629
03-08-18,1,2731
03-08-18,2,1876
03-08-18,3,1959
03-08-18,4,2671
03-08-18,5,2416
03-08-18,6,2924
03-08-18,7,2838
03-08-18,8,3406
03-08-18,9,2965
03-08-18,10,2983
03-08-18,11,2242
03-08-18,12,2096
03-08-18,13,2372
03-08-18,14,2863
03-08-18,15,2701
03-08-18,16,2229
03-08-18,17,2974
03-08-18,18,2265
03-08-18,19,2153
03-08-18,20,2178
03-08-18,21,2551
03-08-18,22,2593
03-08-18,23,2050
03-09-18,0,2060
03-09-18,1,2304
03-09-18,2,2195
03-09-18,3,2579
03-09-18,4,2509
03-09-18,5,2736
03-09-18,6,2148
03-09-18,7,3638
03-09-18,8,3338
03-09-18,9,2451
03-09-18,10,2930
03-09-18,11,2299
03-09-18,12,2316
03-09-18,13,2797
03-09-18,14,2437
03-09-18,15,2719
03-09-18,16,2255
03-09-18,17,2988
03-09-18,18,2738
03-09-18,19,2930
03-09-18,20,2328
03-09-18,21,2257
03-09-18,22,2499
03-09-18,23,2730
03-10-18,0,2989
03-10-18,1,2141
03-10-18,2,1785
03-10-18,3,2361
03-10-18,4,2240
03-10-18,5,2786
03-10-18,6,2559
03-10-18,7,3497
03-10-18,8,3067
03-10-18,9,3071
03-10-18,10,2546
03-10-18,11,2607
03-10-18,12,2572
03-10-18,13,1935
03-10-18,14,2320
03-10-18,15,2274
03-10-18,16,2124
03-10-18,17,2813
03-10-18,18,2162
03-10-18,19,2511
03-10-18,20,2716
03-10-18,21,2319
03-10-18,22,2537
03-10-18,23,2551
03-11-18,0,2654
03-11-18,1,2495
03-11-18,2,2266
03-11-18,3,2178
03-11-18,4,2877
03-11-18,5,2181
03-11-18,6,2311
03-11-18,7,3447
03-11-18,8,3062
03-11-18,9,2208
03-11-18,10,2507
03-11-18,11,2759
03-11-18,12,2248
03-11-18,13,2378
03-11-18,14,2656
03-11-18,15,2774
03-11-18,16,2165
03-11-18,17,2415
03-11-18,18,2263
03-11-18,19,2348
03-11-18,20,2258
03-11-18,21,2729
03-11-18,22,2182
03-11-18,23,2657
03-12-18,0,2594
03-12-18,1,1939
03-12-18,2,1982
03-12-18,3,1907
03-12-18,4,2262
03-12-18,5,2070
03-12-18,6,2424
03-12-18,7,3817
03-12-18,8,2886
03-12-18,9,2676
03-12-18,10,2286
03-12-18,11,2177
03-12-18,12,2454
03-12-18,13,1999
03-12-18,14,2138
03-12-18,15,2728
03-12-18,16,2667
03-12-18,17,3103
03-12-18,18,2055
03-12-18,19,2521
03-12-18,20,2223
03-12-18,21,2145
03-12-18,22,2387
03-12-18,23,2611
03-13-18,0,2798
03-13-18,1,2801
03-13-18,2,2254
03-13-18,3,2530
03-13-18,4,2755
03-13-18,5,2066
03-13-18,6,2117
03-13-18,7,3446
03-13-18,8,3421
03-13-18,9,2552
03-13-18,10,2979
03-13-18,11,1974
03-13-18,12,1997
03-13-18,13,2294
03-13-18,14,2114
03-13-18,15,2616
03-13-18,16,2157
03-13-18,17,2917
03-13-18,18,2271
03-13-18,19,2183
03-13-18,20,2198
03-13-18,21,1998
03-13-18,22,2007
03-13-18,23,2151
03-14-18,0,2135
03-14-18,1,2528
03-14-18,2,2494
03-14-18,3,2156
03-14-18,4,2527
03-14-18,5,2515
03-14-18,6,2789
03-14-18,7,3217
03-14-18,8,2866
03-14-18,9,2165
03-14-18,10,2757
03-14-18,11,2410
03-14-18,12,2458
03-14-18,13,2721
03-14-18,14,2555
03-14-18,15,2571
03-14-18,16,2654
03-14-18,17,3236
03-14-18,18,2909
03-14-18,19,2885
03-14-18,20,2276
03-14-18,21,2275
03-14-18,22,2481
03-14-18,23,2207
03-15-18,0,2769
03-15-18,1,2110
03-15-18,2,1788
03-15-18,3,2390
03-15-18,4,2456
03-15-18,5,2155
03-15-18,6,2122
03-15-18,7,2623
03-15-18,8,2798
03-15-18,9,2190
03-15-18,10,2658
03-15-18,11,2182
03-15-18,12,2181
03-15-18,13,1918
03-15-18,14,2029
03-15-18,15,2961
03-15-18,16,2268
03-15-18,17,2632
03-15-18,18,2343
03-15-18,19,2244
03-15-18,20,2775
03-15-18,21,2575
03-15-18,22,2673
03-15-18,23,2248
03-16-18,0,2547
03-16-18,1,2257
03-16-18,2,2429
03-16-18,3,2421
03-16-18,4,2261
03-16-18,5,2842
03-16-18,6,2644
03-16-18,7,3021
03-16-18,8,3558
03-16-18,9,2770
03-16-18,10,2776
03-16-18,11,2750
03-16-18,12,2641
03-16-18,13,2135
03-16-18,14,1990
03-16-18,15,2167
03-16-18,16,2492
03-16-18,17,3173
03-16-18,18,2644
03-16-18,19,2621
03-16-18,20,2379
03-16-18,21,2547
03-16-18,22,2206
03-16-18,23,2889
03-17-18,0,2956
03-17-18,1,2887
03-17-18,2,2379
03-17-18,3,2399
03-17-18,4,2200
03-17-18,5,2656
03-17-18,6,2344
03-17-18,7,3754
03-17-18,8,2918
03-17-18,9,2539
03-17-18,10,2361
03-17-18,11,2157
03-17-18,12,1917
03-17-18,13,2426
03-17-18,14,2168
03-17-18,15,2568
03-17-18,16,2469
03-17-18,17,2652
03-17-18,18,2159
03-17-18,19,2870
03-17-18,20,2617
03-17-18,21,1969
03-17-18,22,2123
03-17-18,23,2907
03-18-18,0,2586
03-18-18,1,2118
03-18-18,2,2124
03-18-18,3,2030
03-18-18,4,2383
03-18-18,5,2594
03-18-18,6,2684
03-18-18,7,2770
03-18-18,8,3090
03-18-18,9,2489
03-18-18,10,2824
03-18-18,11,2690
03-18-18,12,2262
03-18-18,13,2182
03-18-18,14,2534
03-18-18,15,2337
03-18-18,16,2602
03-18-18,17,3127
03-18-18,18,2904
03-18-18,19,2565
03-18-18,20,2069
03-18-18,21,2274
03-18-18,22,2478
03-18-18,23,2701
03-19-18,0,2190
03-19-18,1,2067
03-19-18,2,2214
03-19-18,3,2501
03-19-18,4,2147
03-19-18,5,2802
03-19-18,6,2559
03-19-18,7,3641
03-19-18,8,3196
03-19-18,9,3010
03-19-18,10,2394
03-19-18,11,2103
03-19-18,12,2757
03-19-18,13,1953
03-19-18,14,2772
03-19-18,15,2560
03-19-18,16,2392
03-19-18,17,2809
03-19-18,18,2457
03-19-18,19,2645
03-19-18,20,2286
03-19-18,21,1898
03-19-18,22,2664
03-19-18,23,2113
03-20-18,0,2078
03-20-18,1,2023
03-20-18,2,2124
03-20-18,3,2016
03-20-18,4,2339
03-20-18,5,2658
03-20-18,6,2970
03-20-18,7,2675
03-20-18,8,3561
03-20-18,9,2087
03-20-18,10,2278
03-20-18,11,1931
03-20-18,12,2189
03-20-18,13,2136
03-20-18,14,2520
03-20-18,15,2603
03-20-18,16,2215
03-20-18,17,2894
03-20-18,18,2760
03-20-18,19,2237
03-20-18,20,2636
03-20-18,21,2229
03-20-18,22,2533
03-20-18,23,2545
03-21-18,0,2330
03-21-18,1,2871
03-21-18,2,2274
03-21-18,3,2613
03-21-18,4,2588
03-21-18,5,2538
03-21-18,6,2115
03-21-18,7,2833
03-21-18,8,2831
03-21-18,9,2834
03-21-18,10,2713
03-21-18,11,2351
03-21-18,12,2689
03-21-18,13,2553
03-21-18,14,2839
03-21-18,15,2893
03-21-18,16,2819
03-21-18,17,2216
03-21-18,18,2057
03-21-18,19,2824
03-21-18,20,2608
03-21-18,21,2653
03-21-18,22,2720
03-21-18,23,2074
03-22-18,0,2646
03-22-18,1,2628
03-22-18,2,2345
03-22-18,3,2058
03-22-18,4,2271
03-22-18,5,2694
03-22-18,6,2111
03-22-18,7,3510
03-22-18,8,3462
03-22-18,9,2257
03-22-18,10,2458
03-22-18,11,2268
03-22-18,12,2034
03-22-18,13,2117
03-22-18,14,2717
03-22-18,15,2245
03-22-18,16,2640
03-22-18,17,2777
03-22-18,18,2613
03-22-18,19,2417
03-22-18,20,2267
03-22-18,21,2424
03-22-18,22,1929
03-22-18,23,2865
03-23-18,0,2946
03-23-18,1,1990
03-23-18,2,2038
03-23-18,3,2159
03-23-18,4,2535
03-23-18,5,2796
03-23-18,6,3055
03-23-18,7,3581
03-23-18,8,2777
03-23-18,9,2889
03-23-18,10,2415
03-23-18,11,2234
03-23-18,12,2318
03-23-18,13,2399
03-23-18,14,2551
03-23-18,15,2183
03-23-18,16,2388
03-23-18,17,2905
03-23-18,18,2970
03-23-18,19,2020
03-23-18,20,2068
03-23-18,21,2429
03-23-18,22,2613
03-23-18,23,2824
03-24-18,0,2173
03-24-18,1,2170
03-24-18,2,2619
03-24-18,3,2667
03-24-18,4,2346
03-24-18,5,2816
03-24-18,6,3095
03-24-18,7,3175
03-24-18,8,3434
03-24-18,9,2332
03-24-18,10,2952
03-24-18,11,2086
03-24-18,12,2305
03-24-18,13,2104
03-24-18,14,2806
03-24-18,15,2582
03-24-18,16,2602
03-24-18,17,2828
03-24-18,18,2267
03-24-18,19,2167
03-24-18,20,2879
03-24-18,21,2666
03-24-18,22,2541
03-24-18,23,2460
03-25-18,0,2364
03-25-18,1,2387
03-25-18,2,2015
03-25-18,3,2520
03-25-18,4,2456
03-25-18,5,2829
03-25-18,6,2988
03-25-18,7,3572
03-25-18,8,3406
03-25-18,9,2878
03-25-18,10,2213
03-25-18,11,2542
03-25-18,12,2041
03-25-18,13,2820
03-25-18,14,2576
03-25-18,15,2053
03-25-18,16,2445
03-25-18,17,2747
03-25-18,18,2041
03-25-18,19,2411
03-25-18,20,2602
03-25-18,21,2658
03-25-18,22,2241
03-25-18,23,2167
03-26-18,0,2330
03-26-18,1,2533
03-26-18,2,1804
03-26-18,3,2390
03-26-18,4,2299
03-26-18,5,2373
03-26-18,6,3072
03-26-18,7,2862
03-26-18,8,2726
03-26-18,9,2140
03-26-18,10,2851
03-26-18,11,2307
03-26-18,12,2013
03-26-18,13,2468
03-26-18,14,2866
03-26-18,15,1994
03-26-18,16,2093
03-26-18,17,2426
03-26-18,18,2720
03-26-18,19,2420
03-26-18,20,2011
03-26-18,21,2300
03-26-18,22,2181
03-26-18,23,2208
03-27-18,0,2550
03-27-18,1,1932
03-27-18,2,2460
03-27-18,3,2369
03-27-18,4,2046
03-27-18,5,2045
03-27-18,6,2110
03-27-18,7,3430
03-27-18,8,2964
03-27-18,9,3072
03-27-18,10,2871
03-27-18,11,2225
03-27-18,12,2117
03-27-18,13,2495
03-27-18,14,2044
03-27-18,15,2352
03-27-18,16,2077
03-27-18,17,2478
03-27-18,18,2350
03-27-18,19,2225
03-27-18,20,2444
03-27-18,21,2001
03-27-18,22,2027
03-27-18,23,2867
03-28-18,0,2183
03-28-18,1,2471
03-28-18,2,2043
03-28-18,3,2477
03-28-18,4,2154
03-28-18,5,2383
03-28-18,6,2744
03-28-18,7,3120
03-28-18,8,3141
03-28-18,9,2125
03-28-18,10,2816
03-28-18,11,2406
03-28-18,12,2039
03-28-18,13,2232
03-28-18,14,1984
03-28-18,15,2224
03-28-18,16,2790
03-28-18,17,2654
03-28-18,18,2882
03-28-18,19,2220
03-28-18,20,2488
03-28-18,21,2022
03-28-18,22,2549
03-28-18,23,2426
03-29-18,0,2561
03-29-18,1,2366
03-29-18,2,2128
03-29-18,3,2240
03-29-18,4,2357
03-29-18,5,2410
03-29-18,6,2256
03-29-18,7,3829
03-29-18,8,3365
03-29-18,9,3043
03-29-18,10,2274
03-29-18,11,2224
03-29-18,12,2851
03-29-18,13,2183
03-29-18,14,2533
03-29-18,15,2403
03-29-18,16,2504
03-29-18,17,2508
03-29-18,18,2974
03-29-18,19,2433
03-29-18,20,2876
03-29-18,21,2741
03-29-18,22,2438
03-29-18,23,2877
03-30-18,0,2028
03-30-18,1,2693
03-30-18,2,2326
03-30-18,3,2142
03-30-18,4,2411
03-30-18,5,2752
03-30-18,6,2620
03-30-18,7,3171
03-30-18,8,3592
03-30-18,9,2784
03-30-18,10,2231
03-30-18,11,2736
03-30-18,12,2850
03-30-18,13,2001
03-30-18,14,2803
03-30-18,15,2440
03-30-18,16,2324
03-30-18,17,2930
03-30-18,18,2789
03-30-18,19,2028
03-30-18,20,2574
03-30-18,21,2713
03-30-18,22,2636
03-30-18,23,2139
03-31-18,0,2970
03-31-18,1,2713
03-31-18,2,2183
03-31-18,3,1975
03-31-18,4,2646
03-31-18,5,2964
03-31-18,6,2651
03-31-18,7,3574
03-31-18,8,3490
03-31-18,9,2607
03-31-18,10,2190
03-31-18,11,2746
03-31-18,12,2499
03-31-18,13,2430
03-31-18,14,2204
03-31-18,15,2684
03-31-18,16,2790
03-31-18,17,2577
03-31-18,18,2740
03-31-18,19,2133
03-31-18,20,2783
03-31-18,21,2036
03-31-18,22,1949
03-31-18,23,2000
04-01-18,0,2560
04-01-18,1,2851
04-01-18,2,2353
04-01-18,3,1960
04-01-18,4,2602
04-01-18,5,2558
04-01-18,6,2620
04-01-18,7,3845
04-01-18,8,3630
04-01-18,9,3113
04-01-18,10,2162
04-01-18,11,2142
04-01-18,12,2161
04-01-18,13,2156
04-01-18,14,2009
04-01-18,15,2174
04-01-18,16,2527
04-01-18,17,2332
04-01-18,18,2134
04-01-18,19,2225
04-01-18,20,2567
04-01-18,21,2086
04-01-18,22,1932
04-01-18,23,2292
04-02-18,0,2700
04-02-18,1,2427
04-02-18,2,2040
04-02-18,3,2603
04-02-18,4,2938
04-02-18,5,2463
04-02-18,6,2441
04-02-18,7,3739
04-02-18,8,3294
04-02-18,9,2923
04-02-18,10,2945
04-02-18,11,1987
04-02-18,12,2493
04-02-18,13,2287
04-02-18,14,2534
04-02-18,15,2586
04-02-18,16,2832
04-02-18,17,3148
04-02-18,18,2755
04-02-18,19,2354
04-02-18,20,2762
04-02-18,21,1963
04-02-18,22,2431
04-02-18,23,2197
04-03-18,0,2994
04-03-18,1,2411
04-03-18,2,1932
04-03-18,3,2562
04-03-18,4,2221
04-03-18,5,2676
04-03-18,6,2125
04-03-18,7,3311
04-03-18,8,2879
04-03-18,9,2480
04-03-18,10,2760
04-03-18,11,2158
04-03-18,12,2590
04-03-18,13,1907
04-03-18,14,2480
04-03-18,15,2206
04-03-18,16,2048
04-03-18,17,3184
04-03-18,18,2347
04-03-18,19,2700
04-03-18,20,2419
04-03-18,21,2185
04-03-18,22,2159
04-03-18,23,2893
04-04-18,0,2224
04-04-18,1,2845
04-04-18,2,1805
04-04-18,3,2006
04-04-18,4,2770
04-04-18,5,2976
04-04-18,6,2813
04-04-18,7,3502
04-04-18,8,3311
04-04-18,9,2629
04-04-18,10,2325
04-04-18,11,2182
04-04-18,12,2013
04-04-18,13,2281
04-04-18,14,2026
04-04-18,15,2072
04-04-18,16,3011
04-04-18,17,2487
04-04-18,18,2915
04-04-18,19,2767
04-04-18,20,2139
04-04-18,21,2714
04-04-18,22,2515
04-04-18,23,2512
04-05-18,0,2591
04-05-18,1,1997
04-05-18,2,2454
04-05-18,3,2383
04-05-18,4,2350
04-05-18,5,2850
04-05-18,6,3094
04-05-18,7,3175
04-05-18,8,3410
04-05-18,9,2899
04-05-18,10,2575
04-05-18,11,2764
04-05-18,12,2671
04-05-18,13,2755
04-05-18,14,2342
04-05-18,15,2523
04-05-18,16,2938
04-05-18,17,3006
04-05-18,18,2156
04-05-18,19,2519
04-05-18,20,2776
04-05-18,21,2561
04-05-18,22,2107
04-05-18,23,2365
04-06-18,0,2554
04-06-18,1,1989
04-06-18,2,2314
04-06-18,3,2655
04-06-18,4,2487
04-06-18,5,2995
04-06-18,6,3076
04-06-18,7,3281
04-06-18,8,3261
04-06-18,9,2765
04-06-18,10,2485
04-06-18,11,2525
04-06-18,12,2128
04-06-18,13,2072
04-06-18,14,2324
04-06-18,15,2668
04-06-18,16,3037
04-06-18,17,3228
04-06-18,18,2354
04-06-18,19,2025
04-06-18,20,2493
04-06-18,21,2004
04-06-18,22,2204
04-06-18,23,2633
04-07-18,0,2174
04-07-18,1,2351
04-07-18,2,1893
04-07-18,3,2273
04-07-18,4,2496
04-07-18,5,2753
04-07-18,6,2931
04-07-18,7,3255
04-07-18,8,3318
04-07-18,9,3078
04-07-18,10,2331
04-07-18,11,2394
04-07-18,12,2743
04-07-18,13,2353
04-07-18,14,2367
04-07-18,15,2384
04-07-18,16,2194
04-07-18,17,3045
04-07-18,18,2245
04-07-18,19,2401
04-07-18,20,2566
04-07-18,21,2360
04-07-18,22,2711
04-07-18,23,2416
04-08-18,0,2529
04-08-18,1,2339
04-08-18,2,1989
04-08-18,3,1868
04-08-18,4,2735
04-08-18,5,2509
04-08-18,6,2583
04-08-18,7,3111
04-08-18,8,2808
04-08-18,9,2424
04-08-18,10,2044
04-08-18,11,2136
04-08-18,12,2067
04-08-18,13,2325
04-08-18,14,2623
04-08-18,15,2693
04-08-18,16,2252
04-08-18,17,2285
04-08-18,18,2649
04-08-18,19,2713
04-08-18,20,2314
04-08-18,21,2062
04-08-18,22,1966
04-08-18,23,2714
04-09-18,0,2392
04-09-18,1,2256
04-09-18,2,2568
04-09-18,3,2213
04-09-18,4,2170
04-09-18,5,2831
04-09-18,6,2144
04-09-18,7,3191
04-09-18,8,3311
04-09-18,9,2459
04-09-18,10,2209
04-09-18,11,2087
04-09-18,12,2825
04-09-18,13,1926
04-09-18,14,2122
04-09-18,15,2856
04-09-18,16,2425
04-09-18,17,2259
04-09-18,18,2519
04-09-18,19,2340
04-09-18,20,2170
04-09-18,21,1977
04-09-18,22,2562
04-09-18,23,2644
04-10-18,0,2530
04-10-18,1,2003
04-10-18,2,2400
04-10-18,3,2081
04-10-18,4,2084
04-10-18,5,2801
04-10-18,6,2929
04-10-18,7,2851
04-10-18,8,2819
04-10-18,9,2874
04-10-18,10,2827
04-10-18,11,2750
04-10-18,12,2611
04-10-18,13,2444
04-10-18,14,2098
04-10-18,15,2301
04-10-18,16,2740
04-10-18,17,2177
04-10-18,18,2185
04-10-18,19,2172
04-10-18,20,2673
04-10-18,21,2383
04-10-18,22,2512
04-10-18,23,2252
04-11-18,0,2750
04-11-18,1,2263
04-11-18,2,2106
04-11-18,3,2278
04-11-18,4,2389
04-11-18,5,2320
04-11-18,6,2899
04-11-18,7,3644
04-11-18,8,3211
04-11-18,9,3025
04-11-18,10,2675
04-11-18,11,2397
04-11-18,12,2457
04-11-18,13,2765
04-11-18,14,2500
04-11-18,15,2063
04-11-18,16,2780
04-11-18,17,2433
04-11-18,18,2821
04-11-18,19,2851
04-11-18,20,2260
04-11-18,21,2309
04-11-18,22,1948
04-11-18,23,2428
04-12-18,0,2479
04-12-18,1,2483
04-12-18,2,2172
04-12-18,3,2427
04-12-18,4,2890
04-12-18,5,2388
04-12-18,6,2283
04-12-18,7,3873
04-12-18,8,3480
04-12-18,9,2558
04-12-18,10,2466
04-12-18,11,2674
04-12-18,12,2839
04-12-18,13,2497
04-12-18,14,2484
04-12-18,15,2689
04-12-18,16,2838
04-12-18,17,2532
04-12-18,18,2035
04-12-18,19,2553
04-12-18,20,2814
04-12-18,21,2117
04-12-18,22,1980
04-12-18,23,2825
04-13-18,0,2831
04-13-18,1,2316
04-13-18,2,2260
04-13-18,3,2200
04-13-18,4,2042
04-13-18,5,2613
04-13-18,6,2301
04-13-18,7,3714
04-13-18,8,3039
04-13-18,9,3020
04-13-18,10,2036
04-13-18,11,2432
04-13-18,12,2372
04-13-18,13,2348
04-13-18,14,2908
04-13-18,15,2251
04-13-18,16,2656
04-13-18,17,2704
04-13-18,18,2457
04-13-18,19,2052
04-13-18,20,2400
04-13-18,21,2118
04-13-18,22,2446
04-13-18,23,2068
04-14-18,0,2329
04-14-18,1,2347
04-14-18,2,2601
04-14-18,3,2608
04-14-18,4,2161
04-14-18,5,2751
04-14-18,6,2138
04-14-18,7,3823
04-14-18,8,2776
04-14-18,9,2363
04-14-18,10,2389
04-14-18,11,2185
04-14-18,12,2493
04-14-18,13,2614
04-14-18,14,2325
04-14-18,15,2640
04-14-18,16,2177
04-14-18,17,2416
04-14-18,18,2099
04-14-18,19,2047
04-14-18,20,2512
04-14-18,21,2273
04-14-18,22,2098
04-14-18,23,2895
04-15-18,0,2476
04-15-18,1,2620
04-15-18,2,2410
04-15-18,3,2237
04-15-18,4,2773
04-15-18,5,2592
04-15-18,6,2784
04-15-18,7,2868
04-15-18,8,3119
04-15-18,9,2518
04-15-18,10,2084
04-15-18,11,2395
04-15-18,12,2488
04-15-18,13,1915
04-15-18,14,2744
04-15-18,15,2779
04-15-18,16,2317
04-15-18,17,2963
04-15-18,18,2234
04-15-18,19,2348
04-15-18,20,2829
04-15-18,21,2084
04-15-18,22,2541
04-15-18,23,2867
04-16-18,0,2191
04-16-18,1,2677
04-16-18,2,1942
04-16-18,3,1870
04-16-18,4,2384
04-16-18,5,2463
04-16-18,6,2525
04-16-18,7,2719
04-16-18,8,3237
04-16-18,9,2594
04-16-18,10,2332
04-16-18,11,2847
04-16-18,12,2485
04-16-18,13,2035
04-16-18,14,2476
04-16-18,15,2082
04-16-18,16,2992
04-16-18,17,2242
04-16-18,18,2261
